,real-cardinality
0,10837
1,10737
2,10884
3,10688
4,10332
5,10160
6,10001
7,10016
8,10170
9,10222
10,10469
11,10693
12,10717
13,10737
14,10712
15,10751
16,10770
17,10905
18,11068
19,10901
20,10858
21,10839
22,10858
23,10809
24,10813
25,10749
26,10755
27,10731
28,10437
29,10397
30,10489
31,10670
32,10571
33,10561
34,10557
35,10682
36,10821
37,10710
38,11068
39,10923
40,10703
41,10622
42,10451
43,10493
44,10513
45,10434
46,10484
47,10816
48,11025
49,10612
50,10393
51,10711
52,10603
53,10209
54,9976
55,10137
56,10419
57,10732
58,10769
59,10933
60,11124
61,10976
62,10975
63,11079
64,10755
65,10552
66,10589
67,10724
68,10631
69,10562
70,10835
71,10404
72,10387
73,10687
74,10581
75,10579
76,10880
77,10986
78,10887
79,11144
80,11080
81,11159
82,11317
83,11390
84,11182
85,10641
86,10785
87,10800
88,10580
89,10839
90,10737
91,10525
92,10439
93,10491
94,10504
95,10467
96,10373
97,10624
98,10851
