,F_val
0,"[('223.7.30.181', 1035), ('116.247.99.244', 980), ('141.183.211.149', 793), ('16.236.65.170', 682), ('140.43.223.7', 662), ('104.53.132.144', 450), ('104.53.132.131', 411), ('30.214.172.153', 400), ('116.102.106.18', 365), ('224.115.233.227', 361), ('124.37.53.44', 358), ('224.134.46.157', 352), ('7.236.99.148', 342), ('33.189.177.242', 339), ('244.199.180.7', 334), ('75.91.213.31', 324), ('124.117.15.38', 309), ('44.222.186.230', 299), ('147.253.192.77', 297), ('210.61.102.71', 277)]"
1,"[('223.7.30.181', 991), ('116.247.99.244', 921), ('104.53.132.131', 718), ('16.236.65.170', 682), ('124.117.15.38', 526), ('141.183.211.149', 511), ('16.236.65.189', 483), ('131.174.243.19', 417), ('30.214.172.153', 400), ('223.239.0.154', 398), ('231.23.54.51', 350), ('140.43.223.14', 344), ('224.115.233.227', 329), ('47.122.20.104', 328), ('30.214.173.53', 327), ('141.183.211.166', 308), ('140.43.223.7', 299), ('244.199.180.7', 289), ('98.143.45.216', 273), ('16.36.125.13', 272)]"
2,"[('223.7.30.181', 1059), ('131.174.243.19', 769), ('141.183.211.149', 740), ('140.43.223.7', 546), ('141.183.211.166', 533), ('223.239.0.154', 511), ('16.236.65.189', 483), ('116.247.99.244', 465), ('116.102.106.18', 364), ('124.37.53.44', 360), ('44.84.85.50', 353), ('33.189.177.242', 348), ('210.61.102.71', 347), ('140.43.223.14', 344), ('47.122.20.104', 328), ('30.214.173.53', 327), ('244.199.180.7', 326), ('16.236.65.170', 322), ('104.53.132.131', 307), ('231.23.54.51', 300)]"
3,"[('141.183.211.149', 1212), ('223.7.30.181', 1089), ('16.236.65.170', 667), ('140.43.223.14', 568), ('140.43.223.7', 546), ('47.122.20.104', 520), ('30.214.172.153', 520), ('223.239.0.154', 471), ('7.236.99.148', 436), ('210.61.102.71', 384), ('16.206.36.48', 379), ('244.199.180.7', 367), ('44.222.186.230', 360), ('124.37.53.44', 360), ('33.189.177.242', 355), ('131.174.243.19', 353), ('44.84.85.50', 315), ('140.169.199.128', 294), ('149.74.8.143', 286), ('47.48.148.187', 274)]"
4,"[('141.183.211.149', 1050), ('223.7.30.181', 1045), ('16.206.36.48', 687), ('149.74.14.45', 617), ('30.214.172.153', 582), ('33.189.177.242', 576), ('140.43.223.14', 568), ('131.174.243.19', 544), ('47.122.20.104', 522), ('218.225.83.191', 494), ('244.199.180.7', 453), ('210.61.102.71', 436), ('116.247.99.244', 422), ('223.239.0.154', 357), ('16.236.65.170', 345), ('98.143.45.216', 325), ('16.236.65.189', 321), ('124.117.15.38', 293), ('116.102.106.18', 290), ('149.74.8.143', 286)]"
5,"[('131.174.243.19', 1788), ('33.189.177.242', 1128), ('223.7.30.181', 1006), ('141.183.211.149', 793), ('116.247.99.244', 784), ('218.225.83.191', 626), ('149.74.14.45', 616), ('210.61.102.71', 517), ('244.199.180.7', 492), ('124.117.15.38', 412), ('197.202.25.99', 400), ('112.80.112.66', 374), ('124.37.53.44', 360), ('116.102.106.18', 358), ('122.24.123.191', 356), ('16.236.65.189', 321), ('16.206.36.48', 309), ('135.214.201.37', 308), ('231.23.54.51', 268), ('140.43.223.7', 245)]"
6,"[('131.174.243.19', 1244), ('141.183.211.149', 1165), ('223.7.30.181', 965), ('33.189.177.242', 881), ('47.122.20.104', 806), ('140.43.223.14', 538), ('210.61.102.71', 486), ('116.247.99.244', 485), ('112.80.112.66', 424), ('244.199.180.7', 409), ('135.214.201.49', 390), ('30.214.172.153', 385), ('16.206.36.48', 364), ('7.236.99.148', 361), ('124.37.53.44', 360), ('122.24.123.191', 356), ('122.24.173.150', 312), ('149.74.8.143', 308), ('135.214.201.37', 308), ('104.53.132.173', 280)]"
7,"[('131.174.243.19', 1995), ('141.183.211.149', 1161), ('223.7.30.181', 913), ('47.122.20.104', 806), ('33.189.177.242', 726), ('16.206.36.48', 702), ('122.24.173.150', 630), ('149.74.14.45', 562), ('140.43.223.14', 538), ('244.199.180.7', 514), ('140.43.223.79', 471), ('30.214.172.153', 460), ('210.61.102.71', 394), ('135.214.201.49', 390), ('62.202.189.147', 370), ('116.102.106.18', 363), ('149.74.8.143', 330), ('122.24.123.191', 313), ('104.53.132.173', 280), ('122.24.123.144', 261)]"
8,"[('131.174.243.19', 1996), ('47.122.20.104', 981), ('223.7.30.181', 947), ('141.183.211.149', 800), ('122.24.123.178', 719), ('16.206.36.48', 664), ('149.74.14.45', 562), ('244.199.180.7', 516), ('33.189.177.242', 481), ('44.222.186.230', 468), ('149.74.8.143', 404), ('116.102.106.18', 363), ('122.24.123.191', 357), ('140.43.223.79', 329), ('122.24.173.150', 318), ('210.61.102.71', 265), ('122.24.123.144', 261), ('197.202.25.99', 248), ('140.158.138.53', 238), ('62.202.189.147', 236)]"
9,"[('223.7.30.181', 987), ('47.122.20.104', 981), ('122.24.123.178', 727), ('140.43.223.79', 722), ('16.206.36.142', 652), ('16.206.36.48', 648), ('140.158.138.22', 607), ('141.183.211.149', 581), ('62.202.189.147', 432), ('244.199.180.7', 408), ('135.214.201.49', 382), ('149.74.8.143', 362), ('122.24.173.150', 307), ('98.143.45.216', 304), ('16.236.65.195', 277), ('149.74.14.45', 275), ('56.186.123.110', 271), ('231.23.54.51', 258), ('7.234.97.176', 248), ('44.222.186.230', 245)]"
