,real-cardinality
0,16562
1,16201
2,15505
3,15398
4,15692
5,16097
6,16298
7,16294
8,16598
9,16683
10,16474
11,16434
12,16415
13,16164
14,15930
15,16092
16,16017
17,16248
18,16635
19,16501
20,16066
21,15891
22,15981
23,16261
24,16191
25,16016
26,15729
27,15583
28,16114
29,16607
30,16747
31,16531
32,16204
33,16137
34,16252
35,16151
36,15943
37,16326
38,16467
39,16602
40,17021
41,17032
42,16605
43,16221
44,16176
45,16090
46,15963
47,15904
48,16134
49,16681
50,16638
51,16519
52,16725
53,16283
54,15997
55,16363
56,16632
57,16937
58,16764
59,16538
